created_at,updated_at,affinity,user_id,friend_id
2018-10-05 12:21:09,2018-10-05 12:21:09,107,21667900,2378356
2019-06-16 04:40:17,2019-06-16 04:40:17,5,21667900,2591187
2018-12-01 10:49:21,2018-12-01 10:49:21,27,21667900,2644265
2018-10-09 06:12:23,2018-10-09 06:12:23,185,21667900,2949597
2018-11-19 12:36:52,2018-11-19 12:36:52,0,21667900,3107649
2018-10-20 13:10:59,2018-10-20 13:10:59,0,21667900,4454821
2018-11-21 15:32:38,2018-11-21 15:32:38,4,21667900,5133268
2018-10-30 09:26:14,2018-10-30 09:26:14,0,21667900,5538312
2022-09-08 13:27:18,2022-09-08 13:27:18,0,21667900,5751242
2018-11-14 10:57:08,2018-11-14 10:57:08,1,21667900,6545403
2018-11-12 10:49:23,2018-11-12 10:49:23,0,21667900,6558672
2018-11-22 16:35:04,2018-11-22 16:35:04,0,21667900,7014857
2019-02-17 03:08:05,2019-02-17 03:08:05,0,21667900,7690350
2018-08-27 10:47:21,2018-08-27 10:47:21,119,21667900,8822297
2018-11-27 16:47:02,2018-11-27 16:47:02,0,21667900,8923760
2020-08-19 16:50:46,2020-08-19 16:50:46,1,21667900,8924362
2018-11-21 06:00:12,2018-11-21 06:00:12,0,21667900,10030421
2018-11-01 16:32:51,2018-11-01 16:32:51,0,21667900,12662405
2018-11-02 10:44:33,2018-11-02 10:44:33,5,21667900,14543825
2018-10-18 15:58:41,2018-10-18 15:58:41,30,21667900,15611090
2018-10-08 13:42:47,2018-10-08 13:42:47,58,21667900,17314293
2018-09-29 14:01:44,2018-09-29 14:01:44,0,21667900,17908175
2019-01-08 22:04:45,2019-01-08 22:04:45,0,21667900,19450170
2018-12-08 05:07:22,2018-12-08 05:07:22,0,21667900,21353762
2018-08-18 08:58:32,2018-08-18 08:58:32,32,21667900,21763577
2018-11-14 11:07:36,2018-11-14 11:07:36,0,21667900,24881445
2024-03-26 19:32:49,2024-03-26 19:32:49,0,21667900,25776425
