rating,created_at,updated_at,tv_show_name,user_id,tv_show_id
5,2018-09-26 16:10:20,2018-10-01 13:11:41,Avatar: The Last Airbender,21667900,74852
5,2018-10-29 05:55:50,2018-10-29 05:55:50,Game of Thrones,21667900,121361
2.50,2018-12-05 15:01:48,2018-12-05 15:01:49,Koffee With Karan,21667900,245981
5,2018-07-10 16:29:30,2018-07-10 16:29:30,Taarak Mehta Ka Ooltah Chashmah,21667900,265599
4,2018-12-03 16:40:50,2018-12-03 16:40:56,The Originals,21667900,266883
4.50,2018-11-18 06:11:01,2018-11-18 06:11:01,The Fosters (2013),21667900,267907
4.50,2018-10-10 05:53:37,2018-10-10 05:53:37,The Affair,21667900,270439
4,2018-11-02 11:44:24,2018-11-02 11:44:26,American Crime Story,21667900,289108
4.50,2018-11-21 05:55:00,2018-11-21 05:55:00,The Last Kingdom,21667900,298566
5,2018-11-25 08:41:43,2018-11-25 08:41:43,Victoria,21667900,302205
5,2018-11-14 10:58:51,2018-11-14 10:58:51,The OA,21667900,321060
5,2018-10-01 07:52:07,2018-10-01 07:52:07,Anne with an E,21667900,322971
5,2018-09-28 16:19:26,2018-09-28 16:19:26,The Sinner,21667900,326866
4,2018-11-29 09:09:12,2018-11-29 09:09:13,Absentia,21667900,330500
5,2018-09-30 05:06:06,2018-09-30 05:06:06,Power Rangers Mystic Force,21667900,336983
2.50,2018-11-08 11:23:34,2018-11-08 11:23:35,Legacies,21667900,349309
5,2018-09-26 14:20:28,2018-09-26 14:20:28,The Dragon Prince,21667900,350123
5,2018-11-23 09:19:14,2018-11-23 09:19:20,A Discovery of Witches,21667900,351291
