user_id,leaderboard_id,score,created_at,updated_at
21667900,121361-captains-lb,2100,2019-06-24 20:22:16,2022-07-09 05:38:37
21667900,247897-captains-lb,100,2022-01-10 03:57:54,2022-01-10 03:57:54
21667900,260449-captains-lb,193800,2018-08-10 14:28:01,2024-07-14 00:56:48
21667900,262447-captains-lb,1700,2019-11-02 22:00:20,2021-05-06 07:51:31
21667900,266883-captains-lb,14000,2018-08-17 18:11:22,2024-07-02 16:25:26
21667900,267907-captains-lb,94400,2018-11-03 14:44:18,2025-02-12 03:16:40
21667900,268156-captains-lb,100,2018-08-27 10:48:46,2018-08-27 10:48:46
21667900,268592-captains-lb,1300,2018-09-24 09:30:49,2019-02-01 00:36:32
21667900,270408-captains-lb,83800,2018-11-01 15:48:26,2024-12-03 02:18:08
21667900,270439-captains-lb,3800,2018-10-31 15:04:26,2024-10-02 05:36:58
21667900,270915-captains-lb,1000,2018-11-04 19:44:56,2019-01-26 18:08:05
21667900,273181-captains-lb,1700,2024-05-13 13:02:18,2025-11-24 05:46:34
21667900,295829-captains-lb,1573000,2018-12-10 14:20:55,2025-04-21 20:41:24
21667900,298566-captains-lb,1153800,2018-08-02 20:50:33,2026-03-07 02:13:55
21667900,302205-captains-lb,2300,2018-12-28 22:48:25,2021-03-14 13:03:14
21667900,305288-captains-lb,23900,2019-10-28 23:47:42,2023-03-20 20:41:28
21667900,305574-captains-lb,200,2019-11-23 23:44:17,2019-12-31 04:34:07
21667900,305719-captains-lb,33500,2019-06-10 12:25:01,2023-09-28 11:49:41
21667900,311714-captains-lb,287200,2018-09-26 09:32:12,2025-02-27 14:27:16
21667900,313024-captains-lb,900,2019-11-12 23:58:19,2019-11-12 23:58:19
21667900,319861-captains-lb,99500,2018-08-16 21:21:15,2025-03-02 20:15:44
21667900,321239-captains-lb,6700,2018-07-06 11:03:13,2018-08-27 10:48:45
21667900,322971-captains-lb,111800,2018-07-23 12:19:24,2022-03-06 10:51:34
21667900,326791-captains-lb,217000,2018-10-02 04:54:20,2024-11-24 23:05:18
21667900,326866-captains-lb,73500,2018-08-08 19:55:02,2024-01-31 17:19:55
21667900,327417-captains-lb,200,2020-01-30 17:02:27,2020-01-30 17:02:27
21667900,328292-captains-lb,600,2018-09-29 12:22:15,2019-12-23 10:21:15
21667900,328708-captains-lb,300,2019-10-24 16:15:42,2019-11-23 02:31:08
21667900,328756-captains-lb,3300,2018-08-01 16:34:51,2024-08-20 05:09:18
21667900,329089-captains-lb,1800,2020-04-03 02:55:18,2022-02-06 16:19:39
21667900,329353-captains-lb,1900,2018-08-31 20:54:47,2021-09-23 19:02:30
21667900,329586-captains-lb,100,2018-11-20 14:42:37,2018-11-20 14:42:37
21667900,330500-captains-lb,5500,2018-11-29 06:51:07,2023-04-14 08:49:39
21667900,336522-captains-lb,4500,2020-06-06 08:23:17,2020-06-06 08:23:17
21667900,336924-captains-lb,43600,2018-11-13 06:52:02,2025-01-20 11:43:59
21667900,338186-captains-lb,186100,2023-05-02 02:13:48,2025-03-04 16:27:55
21667900,338947-captains-lb,3300,2019-10-25 21:20:43,2019-10-25 21:20:43
21667900,341871-captains-lb,4100,2024-03-14 00:04:38,2025-02-19 21:58:46
21667900,343435-captains-lb,100,2018-11-05 17:57:21,2018-11-05 17:57:21
21667900,344626-captains-lb,6446200,2018-11-19 13:01:10,2026-03-11 17:40:45
21667900,345246-captains-lb,425300,2020-08-05 21:00:27,2024-10-24 18:58:43
21667900,346602-captains-lb,160000,2018-07-16 14:42:02,2025-03-02 18:13:31
21667900,349309-captains-lb,4700,2018-11-03 19:13:30,2021-05-27 13:05:06
21667900,349310-captains-lb,400,2018-12-11 23:06:28,2019-05-29 05:02:06
21667900,350123-captains-lb,261900,2018-09-27 19:08:22,2025-01-27 13:02:44
21667900,350553-captains-lb,7200,2018-11-07 16:56:58,2023-09-24 18:24:05
21667900,350864-captains-lb,516900,2018-09-23 06:52:00,2025-01-04 19:59:45
21667900,351291-captains-lb,900,2019-04-23 21:00:11,2019-12-06 19:16:51
21667900,356317-captains-lb,55600,2023-09-24 01:53:37,2024-06-06 22:41:05
21667900,360261-captains-lb,22100,2019-07-06 01:39:17,2023-06-03 17:22:28
21667900,360295-captains-lb,3300,2020-01-20 09:30:17,2021-01-12 13:52:52
21667900,362696-captains-lb,300,2019-12-21 08:56:40,2022-03-31 12:12:30
21667900,371572-captains-lb,14000,2022-09-05 13:17:14,2023-02-12 22:29:11
21667900,403656-captains-lb,200,2024-06-10 04:09:37,2024-08-22 12:20:30
21667900,73508-captains-lb,375300,2018-11-30 13:10:30,2025-02-24 23:52:18
21667900,74852-captains-lb,19200,2018-10-01 05:27:12,2024-03-12 03:21:45
21667900,82283-captains-lb,50600,2018-12-11 06:32:13,2025-01-24 12:58:48
