range_key,updated_at,entity_uuid,user_id,entity_type,created_at,entity_id,poster,movie_name,series_name
images-1d660242-1776-46d1-8137-ab3ee8ba2c49,2025-12-18 04:55:58,1d660242-1776-46d1-8137-ab3ee8ba2c49,21667900,movie,2024-04-10 02:34:02,2616,map[url:https://artworks.thetvdb.com/banners/v4/movie/2616/posters/68bc8eff085f4.jpg uuid:64462066],In the Mood for Love,
images-3dbdfd22-e457-4601-b5dc-14d8252db3e0,2024-05-07 17:32:45,3dbdfd22-e457-4601-b5dc-14d8252db3e0,21667900,series,2024-05-07 17:32:45,417223,map[url:https://artworks.thetvdb.com/banners/v4/series/417223/posters/66216bc12833a.jpg uuid:63927033],,Baby Reindeer
images-4308d8bf-70c9-401f-8078-300723927433,2022-07-16 23:34:53,4308d8bf-70c9-401f-8078-300723927433,21667900,series,2022-07-16 23:34:53,377955,map[url:https://dg31sz3gwrwan.cloudfront.net/poster/377955/62944134-0-optimized.jpg uuid:62944134],,It's Okay to Not Be Okay
images-5313bc71-e5b4-4306-a60e-cd9a7011df32,2022-08-08 21:19:21,5313bc71-e5b4-4306-a60e-cd9a7011df32,21667900,series,2022-08-08 21:19:21,366211,map[url:https://dg31sz3gwrwan.cloudfront.net/poster/366211/63104784-0-optimized.jpg uuid:63104784],,The Sandman
images-60271513-f1a0-454d-8384-b3e3e7827f48,2024-04-12 22:48:31,60271513-f1a0-454d-8384-b3e3e7827f48,21667900,movie,2024-04-12 22:48:31,158134,map[url:https://artworks.thetvdb.com/banners/v4/movie/158134/posters/631838e54da92.jpg uuid:63189754],當男人戀愛時,
images-613466e5-f140-4ea5-ba53-7a3ce3cdbebc,2024-07-05 01:11:58,613466e5-f140-4ea5-ba53-7a3ce3cdbebc,21667900,series,2024-07-05 01:11:58,371572,map[url:https://artworks.thetvdb.com/banners/v4/series/371572/posters/6314ba1149a9a.jpg uuid:63170047],,House of the Dragon
images-61fcbcbe-a78a-4d08-bfc2-5700973fc779,2022-08-08 21:19:38,61fcbcbe-a78a-4d08-bfc2-5700973fc779,21667900,series,2022-08-08 21:19:38,419950,map[url:https://dg31sz3gwrwan.cloudfront.net/poster/419950/63128787-0-optimized.jpg uuid:63128787],,Extraordinary Attorney Woo
images-662e5876-4566-43d4-9d98-cef9b4646ad5,2024-04-26 01:31:04,662e5876-4566-43d4-9d98-cef9b4646ad5,21667900,series,2024-04-26 01:31:04,392573,map[url:https://artworks.thetvdb.com/banners/v4/series/392573/posters/65cf707706d1a.jpg uuid:63579852],,Shōgun
images-87ccba5d-e3b7-4382-a024-7221d7e5012f,2025-05-15 20:50:48,87ccba5d-e3b7-4382-a024-7221d7e5012f,21667900,movie,2025-05-15 20:50:48,343586,map[url:https://artworks.thetvdb.com/banners/v4/movie/343586/posters/64e69d20e12b9.jpg uuid:63622793],Past Lives,
images-8c38ed96-6b8e-4ff1-af0e-4c031cafb60d,2022-07-01 12:54:42,8c38ed96-6b8e-4ff1-af0e-4c031cafb60d,21667900,series,2022-07-01 12:54:42,368385,map[url:https://dg31sz3gwrwan.cloudfront.net/poster/368385/62367296-0-optimized.jpg uuid:62367296],,Crash Landing on You
images-a3df17b7-0856-4d87-8e66-13184dea8ca4,2022-07-01 12:54:17,a3df17b7-0856-4d87-8e66-13184dea8ca4,21667900,series,2022-07-01 12:54:17,341871,map[url:https://dg31sz3gwrwan.cloudfront.net/poster/341871/62933750-0-optimized.jpg uuid:62933750],,My Mister
images-dea25bc7-16bf-4d0b-9ea6-1caff7ce5cc3,2024-03-12 17:20:23,dea25bc7-16bf-4d0b-9ea6-1caff7ce5cc3,21667900,series,2024-03-12 17:20:23,356591,map[url:https://artworks.thetvdb.com/banners/v4/series/356591/posters/62aa7a0554d4e.jpg uuid:63112950],,The Light in Your Eyes
images-f74b4a1d-0cb7-4a98-91c2-fd3e914dc5bb,2022-07-25 14:24:10,f74b4a1d-0cb7-4a98-91c2-fd3e914dc5bb,21667900,series,2022-07-25 14:24:10,349512,map[url:https://dg31sz3gwrwan.cloudfront.net/poster/349512/1299778-0-optimized.jpg uuid:1299778],,Familiar Wife
